data,block_timestamp
"b'saturday, september/12/2015 - signal for today is 75 % btc / 25 % usd'",2015-09-12 19:32:25
"b'sunday, september/13/2015 - signal for today is 50 % btc / 50 % usd'",2015-09-13 19:38:20
"b'monday, september/14/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-14 20:11:06
"b'tuesday, september/15/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-15 19:34:49
"b'wednesday, september/16/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-16 19:50:22
"b'thursday, september/17/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-17 19:37:16
"b'friday, september/18/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-18 19:34:47
"b'saturday, september/19/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-19 19:35:24
"b'sunday, september/20/2015 - signal for today is 25 % btc / 75 % usd'",2015-09-20 19:32:44
"b'monday, september/21/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-21 19:46:48
"b'tuesday, september/22/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-22 19:53:20
"b'wednesday, september/23/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-23 19:40:19
"b'thursday, september/24/2015 - signal for today is 0 % btc / 100 % usd'",2015-09-24 20:08:05
"b'friday, september/25/2015- signal for today is 25% btc / 75% usd :smart2'",2015-09-25 19:38:44
"b'saturday, september/26/2015- signal for today is 25% btc / 75% usd :smart2'",2015-09-26 19:44:17
"b'sunday, september/27/2015- signal for today is 75% btc / 25% usd :'",2015-09-27 19:55:17
"b'monday, september/28/2015- signal for today is 100% btc / 0% usd :smart2'",2015-09-28 19:32:54
"b'tuesday, september/29/2015- signal for today is 100% btc / 0% usd :smart2'",2015-09-29 20:14:41
"b'wednesday, september/30/2015- signal for today is 100% btc / 0% usd :smart2'",2015-09-30 19:35:43
"b'thursday, october/01/2015- signal for today is 100% btc / 0% usd :smart2'",2015-10-01 21:10:55
"b'friday, october/02/2015- signal for today is 100% btc / 0% usd :smart2'",2015-10-02 19:54:39
"b'saturday, october/03/2015- signal for today is 100% btc / 0% usd :smart2'",2015-10-03 20:59:49
"b'sunday, october/04/2015- signal for today is 100% btc / 0% usd :smart2'",2015-10-04 19:38:14
"b'monday, october/05/2015- signal for today is 100% btc / 0% usd :smart2'",2015-10-05 19:31:22
"b'tuesday, october/06/2015- signal for today is 100% btc / 0% usd :smart2'",2015-10-06 19:56:43
