Date;Last Price
10/12/23;2360,01
9/12/23;2355,123
8/12/23;2369,21
7/12/23;2370,172
6/12/23;2248
5/12/23;2273,36
4/12/23;2234,81
3/12/23;2183,75
2/12/23;2169,34
1/12/23;2091,375
30/11/23;2046,06
29/11/23;2029,052
28/11/23;2054,542
27/11/23;2015,58
26/11/23;2074,788
25/11/23;2084,915
24/11/23;2088,035
23/11/23;2069,05
22/11/23;2082,225
21/11/23;1985,98
20/11/23;2026,075
19/11/23;1983,75
18/11/23;1961,353
17/11/23;1946,35
16/11/23;1955,777
15/11/23;2047,22
14/11/23;1981,998
13/11/23;2060
12/11/23;2060,05
11/11/23;2045,805
10/11/23;2092,698
9/11/23;2059,2
8/11/23;1887,475
7/11/23;1893,435
6/11/23;1892,835
5/11/23;1869,65
4/11/23;1839,16
3/11/23;1829,3
2/11/23;1804,828
1/11/23;1855,64
31/10/23;1814,74
30/10/23;1801,488
29/10/23;1797,878
28/10/23;1779,21
27/10/23;1781,4
26/10/23;1798,58
25/10/23;1787,89
24/10/23;1771,9
23/10/23;1709,308
22/10/23;1641,063
21/10/23;1630,455
20/10/23;1603,625
19/10/23;1567,208
18/10/23;1562,5
17/10/23;1560,603
16/10/23;1588,238
15/10/23;1564,45
14/10/23;1555,4
13/10/23;1559,302
12/10/23;1536,028
11/10/23;1563,793
10/10/23;1560,055
9/10/23;1576,762
8/10/23;1637,05
7/10/23;1634,03
6/10/23;1647,093
5/10/23;1616,91
4/10/23;1642,173
3/10/23;1656,875
2/10/23;1665,725
1/10/23;1674,48
30/9/23;1680,3
29/9/23;1667,75
28/9/23;1656,485
27/9/23;1593,968
26/9/23;1586,62
25/9/23;1586,675
24/9/23;1590,625
23/9/23;1593,54
22/9/23;1591,552
21/9/23;1588,06
20/9/23;1624,64
19/9/23;1642,873
18/9/23;1637,677
17/9/23;1617,805
16/9/23;1635,238
15/9/23;1622,415
14/9/23;1628,463
13/9/23;1604,035
12/9/23;1598,775
11/9/23;1541,36
10/9/23;1618,6
9/9/23;1633,39
8/9/23;1636,693
7/9/23;1638,445
6/9/23;1627,755
5/9/23;1629,175
4/9/23;1628,104
3/9/23;1642,575
2/9/23;1634,175
1/9/23;1628,255
31/8/23;1649,222
30/8/23;1703,92
29/8/23;1726,65
28/8/23;1646,11
27/8/23;1653,869
26/8/23;1646,603
25/8/23;1649,198
24/8/23;1649,24
23/8/23;1684,265
22/8/23;1630,545
21/8/23;1671,96
20/8/23;1689,385
19/8/23;1671,153
18/8/23;1657,296
17/8/23;1716,745
16/8/23;1808,05
15/8/23;1827,735
14/8/23;1842,975
13/8/23;1853,35
12/8/23;1846,645
11/8/23;1844,074
10/8/23;1848,657
9/8/23;1851,572
8/8/23;1863,468
7/8/23;1825,387
6/8/23;1829,727
5/8/23;1833,1
4/8/23;1820,719
3/8/23;1842,87
2/8/23;1841,457
1/8/23;1849,44
31/7/23;1853,212
30/7/23;1865,585
29/7/23;1884
28/7/23;1876,335
27/7/23;1858,607
26/7/23;1880,911
25/7/23;1862,07
24/7/23;1850,48
23/7/23;1893,118
22/7/23;1887,88
21/7/23;1894,89
20/7/23;1888,14
19/7/23;1898,821
18/7/23;1894,688
17/7/23;1890,391
16/7/23;1929,371
15/7/23;1932,343
14/7/23;1915,862
13/7/23;1985,882
12/7/23;1872,852
11/7/23;1873,726
10/7/23;1892,616
9/7/23;1869,482
8/7/23;1848,805
7/7/23;1865,871
6/7/23;1883,424
5/7/23;1910,359
4/7/23;1942,208
3/7/23;1958,756
2/7/23;1918,234
1/7/23;1922,978
30/6/23;1927,01
29/6/23;1849,25
28/6/23;1831,073
27/6/23;1892,484
26/6/23;1851,405
25/6/23;1894,39
24/6/23;1877,96
23/6/23;1906,8
22/6/23;1887,867
21/6/23;1879,887
20/6/23;1785,065
19/6/23;1730,25
18/6/23;1729,85
17/6/23;1727,965
16/6/23;1726,17
15/6/23;1668,85
14/6/23;1637,917
13/6/23;1738,198
12/6/23;1739,125
11/6/23;1770,76
10/6/23;1743,828
9/6/23;1836,75
8/6/23;1853,288
7/6/23;1841,925
6/6/23;1876,885
5/6/23;1805,293
4/6/23;1904,54
3/6/23;1888,427
2/6/23;1905,055
1/6/23;1869,498
31/5/23;1865,85
30/5/23;1904
29/5/23;1893,683
28/5/23;1854,135
27/5/23;1828,167
26/5/23;1835,37
25/5/23;1810,14
24/5/23;1804,76
23/5/23;1854,665
22/5/23;1818,377
21/5/23;1805,955
20/5/23;1817,24
19/5/23;1812,599
18/5/23;1796,775
17/5/23;1826,66
16/5/23;1821,417
15/5/23;1826,328
14/5/23;1799,203
13/5/23;1803,908
12/5/23;1788,68
11/5/23;1796,363
10/5/23;1858,673
9/5/23;1849,458
8/5/23;1841,54
7/5/23;1919,782
6/5/23;1898,57
5/5/23;1989,845
4/5/23;1878,281
3/5/23;1873,88
2/5/23;1870,629
1/5/23;1807,518
30/4/23;1893,072
29/4/23;1904,16
28/4/23;1896,88
27/4/23;1919,935
26/4/23;1866,744
25/4/23;1860,495
24/4/23;1839,883
23/4/23;1849,064
22/4/23;1869,625
21/4/23;1837,886
20/4/23;1938,015
19/4/23;1980,888
18/4/23;2093,297
17/4/23;2076,913
16/4/23;2122,607
15/4/23;2088,715
14/4/23;2107,063
13/4/23;2008,625
12/4/23;1908,685
11/4/23;1894,68
10/4/23;1886,071
9/4/23;1857,202
8/4/23;1855,208
7/4/23;1854,008
6/4/23;1864,035
5/4/23;1905,89
4/4/23;1878,31
3/4/23;1780,265
2/4/23;1789,415
1/4/23;1817,238
31/3/23;1817,72
30/3/23;1795,292
29/3/23;1803,525
28/3/23;1774,778
27/3/23;1707,968
26/3/23;1761,763
25/3/23;1732,493
24/3/23;1750,408
23/3/23;1819,09
22/3/23;1737,685
21/3/23;1800,99
20/3/23;1761,415
19/3/23;1799,15
18/3/23;1796,253
17/3/23;1744,218
16/3/23;1659,772
15/3/23;1653,172
14/3/23;1705,185
13/3/23;1672,228
12/3/23;1557,368
11/3/23;1475,2
10/3/23;1426,1
9/3/23;1432,508
8/3/23;1552,715
7/3/23;1550,415
6/3/23;1566,448
5/3/23;1572,135
4/3/23;1556,995
3/3/23;1559,5
2/3/23;1640,838
1/3/23;1657,455
28/2/23;1605,83
27/2/23;1627,448
26/2/23;1642,53
25/2/23;1574,7
24/2/23;1602,65
23/2/23;1644,966
22/2/23;1619,5
21/2/23;1642,358
20/2/23;1701,182
19/2/23;1686,479
18/2/23;1687,713
17/2/23;1693,85
16/2/23;1682,978
15/2/23;1665,885
14/2/23;1556,15
13/2/23;1486,479
12/2/23;1511,289
11/2/23;1534,78
10/2/23;1506,028
9/2/23;1540,775
8/2/23;1653,033
7/2/23;1667,895
6/2/23;1638,26
5/2/23;1622,233
4/2/23;1680,04
3/2/23;1657,647
2/2/23;1637,05
1/2/23;1635,299
31/1/23;1577,458
30/1/23;1556,831
29/1/23;1643,273
28/1/23;1567,25
27/1/23;1599,403
26/1/23;1603,002
25/1/23;1618,613
24/1/23;1598,965
23/1/23;1631,904
22/1/23;1628,05
21/1/23;1662,855
20/1/23;1637,383
19/1/23;1545,255
18/1/23;1528,143
17/1/23;1580,978
16/1/23;1579,695
15/1/23;1552,466
14/1/23;1538,652
13/1/23;1455,193
12/1/23;1426,563
11/1/23;1342,96
10/1/23;1339,21
9/1/23;1318,395
8/1/23;1269,651
7/1/23;1264,223
6/1/23;1266,109
5/1/23;1251,812
4/1/23;1252,443
3/1/23;1211,055
2/1/23;1219,18
1/1/23;1202,261
31/12/22;1199,371
30/12/22;1197,707
29/12/22;1194,744
28/12/22;1186,71
27/12/22;1210,73
26/12/22;1216,795
25/12/22;1218,465
24/12/22;1219,077
23/12/22;1221,575
22/12/22;1214,759
21/12/22;1211,757
20/12/22;1216,011
19/12/22;1175,805
18/12/22;1182,575
17/12/22;1178,798
16/12/22;1195,061
15/12/22;1264,45
14/12/22;1310,665
13/12/22;1319,719
12/12/22;1274,949
11/12/22;1265,052
10/12/22;1268,5
9/12/22;1259,82
8/12/22;1278,282
7/12/22;1232,075
6/12/22;1255,785
5/12/22;1259,44
4/12/22;1276,778
3/12/22;1261,248
2/12/22;1291,018
1/12/22;1276,34
30/11/22;1296,775
29/11/22;1219,19
28/11/22;1172,27
27/11/22;1215,113
26/11/22;1209,705
25/11/22;1198,927
24/11/22;1195,681
23/11/22;1168,917
22/11/22;1129,64
21/11/22;1093,863
20/11/22;1141,395
19/11/22;1210,385
18/11/22;1208,04
17/11/22;1205,615
16/11/22;1205,705
15/11/22;1245,573
14/11/22;1226,022
13/11/22;1216,207
12/11/22;1256,06
11/11/22;1266,42
10/11/22;1321,465
9/11/22;1105,965
8/11/22;1336,59
7/11/22;1575,655
6/11/22;1604,118
5/11/22;1631,475
4/11/22;1646,05
3/11/22;1540,765
2/11/22;1511,405
1/11/22;1575,592
31/10/22;1564,958
30/10/22;1595,155
29/10/22;1626,978
28/10/22;1560,858
27/10/22;1527,79
26/10/22;1553,682
25/10/22;1473,98
24/10/22;1351,228
23/10/22;1330,215
22/10/22;1316,29
21/10/22;1302,738
20/10/22;1282,135
19/10/22;1294,55
18/10/22;1314,37
17/10/22;1330,04
16/10/22;1310,625
15/10/22;1281,085
14/10/22;1301,25
13/10/22;1293,82
12/10/22;1299,016
11/10/22;1281,81
10/10/22;1307,25
9/10/22;1321,045
8/10/22;1325,445
7/10/22;1331,51
6/10/22;1364
5/10/22;1345,43
4/10/22;1361,963
3/10/22;1323,77
2/10/22;1303,01
1/10/22;1309,565
30/9/22;1331,725
29/9/22;1338,012
28/9/22;1350,46
27/9/22;1324,75
26/9/22;1324,865
25/9/22;1292,527
24/9/22;1342,07
23/9/22;1300,95
22/9/22;1324,424
21/9/22;1314,568
20/9/22;1343,255
19/9/22;1357,455
18/9/22;1371,995
17/9/22;1462,337
16/9/22;1437,765
15/9/22;1504
14/9/22;1602,963
13/9/22;1608,113
12/9/22;1724,383
11/9/22;1759,51
10/9/22;1734,76
9/9/22;1721,5
8/9/22;1645,198
7/9/22;1639,65
6/9/22;1580,79
5/9/22;1597,802
4/9/22;1570,745
3/9/22;1552,825
2/9/22;1568,83
1/9/22;1580,387
31/8/22;1570,75
30/8/22;1558,1
29/8/22;1546,15
28/8/22;1483,109
27/8/22;1481,115
26/8/22;1556,605
25/8/22;1708,353
24/8/22;1683,483
23/8/22;1647,318
22/8/22;1579,2
21/8/22;1616,833
20/8/22;1533,065
19/8/22;1686,855
18/8/22;1877,377
17/8/22;1851,25
16/8/22;1884,703
15/8/22;1904,373
14/8/22;1941,298
13/8/22;1990,62
12/8/22;1933,1
11/8/22;1902,555
10/8/22;1843
9/8/22;1696,988
8/8/22;1797,565
7/8/22;1722,435
6/8/22;1715,51
5/8/22;1679,653
4/8/22;1591,305
3/8/22;1642,935
2/8/22;1652,01
1/8/22;1627,655
31/7/22;1720,934
30/7/22;1703,045
29/7/22;1733,136
28/7/22;1757,547
27/7/22;1601,432
26/7/22;1380,461
25/7/22;1522,835
24/7/22;1608,74
23/7/22;1525,29
22/7/22;1526,945
21/7/22;1585,297
20/7/22;1521,01
19/7/22;1559,328
18/7/22;1471,31
17/7/22;1344,055
16/7/22;1347,28
15/7/22;1256,219
14/7/22;1192,875
13/7/22;1075,677
12/7/22;1046,252
11/7/22;1137,398
10/7/22;1177,459
9/7/22;1219,02
8/7/22;1243,207
7/7/22;1237,725
6/7/22;1160,64
5/7/22;1153,578
4/7/22;1120,312
3/7/22;1083,47
2/7/22;1062,953
1/7/22;1067,762
30/6/22;1010,475
29/6/22;1108,245
28/6/22;1160,315
27/6/22;1201,77
26/6/22;1246,97
25/6/22;1208,455
24/6/22;1218,353
23/6/22;1134,55
22/6/22;1047,825
21/6/22;1121,52
20/6/22;1119,775
19/6/22;1140,147
18/6/22;902,936
17/6/22;1093,723
16/6/22;1098,232
15/6/22;1178,305
14/6/22;1187,74
13/6/22;1240,038
12/6/22;1475,757
11/6/22;1521,617
10/6/22;1676,995
9/6/22;1793,495
8/6/22;1795,32
7/6/22;1844,225
6/6/22;1860,138
5/6/22;1809,643
4/6/22;1776,095
3/6/22;1758,04
2/6/22;1822,847
1/6/22;1791,54
31/5/22;1951,664
30/5/22;1953,157
29/5/22;1795,238
28/5/22;1791,748
27/5/22;1743,47
26/5/22;1825,84
25/5/22;1958,667
24/5/22;1968,55
23/5/22;1997,635
22/5/22;2006,36
21/5/22;1974,025
20/5/22;1958,068
19/5/22;2013,495
18/5/22;1964,233
17/5/22;2051,51
16/5/22;2033,12
15/5/22;2129,51
14/5/22;1995,9
13/5/22;2042,14
12/5/22;1924,935
11/5/22;2035,837
10/5/22;2327,087
9/5/22;2291,545
8/5/22;2540,07
7/5/22;2673,52
6/5/22;2705,508
5/5/22;2755,543
4/5/22;2944,86
3/5/22;2784,735
2/5/22;2826,865
1/5/22;2813,683
30/4/22;2790,335
29/4/22;2806,758
28/4/22;2948,615
27/4/22;2865,702
26/4/22;2829,345
25/4/22;2999,7
24/4/22;2941,295
23/4/22;2964,24
22/4/22;2972,013
21/4/22;3001,035
20/4/22;3085,885
19/4/22;3095,28
18/4/22;3005,8
17/4/22;3046,16
16/4/22;3033,76
15/4/22;3030,943
14/4/22;3013,563
13/4/22;3106,31
12/4/22;2987,525
11/4/22;2992,98
10/4/22;3290,317
9/4/22;3225,633
8/4/22;3250,988
7/4/22;3239,138
6/4/22;3234,133
5/4/22;3442,393
4/4/22;3509,962
3/4/22;3493,695
2/4/22;3471,788
1/4/22;3442,522
31/3/22;3300,51
30/3/22;3414,05
29/3/22;3398,2
28/3/22;3418,08
27/3/22;3239,113
26/3/22;3144,83
25/3/22;3126,795
24/3/22;3105,68
23/3/22;2982,695
22/3/22;3002,67
21/3/22;2911,08
20/3/22;2874,522
19/3/22;2955,01
18/3/22;2949,225
17/3/22;2808,425
16/3/22;2774,075
15/3/22;2625,242
14/3/22;2526,319
13/3/22;2546,305
12/3/22;2587,268
11/3/22;2571,8
10/3/22;2604,248
9/3/22;2708,355
8/3/22;2559,198
7/3/22;2483,738
6/3/22;2630,114
5/3/22;2655,232
4/3/22;2608,343
3/3/22;2805,3
2/3/22;2976,788
1/3/22;2956,488
28/2/22;2821,208
27/2/22;2604,537
26/2/22;2826,647
25/2/22;2708,945
24/2/22;2636,972
23/2/22;2619,53
22/2/22;2607,63
21/2/22;2582,935
20/2/22;2599,185
19/2/22;2741,269
18/2/22;2782,84
17/2/22;2896,412
16/2/22;3142,393
15/2/22;3098,678
14/2/22;2915,25
13/2/22;2875,8
12/2/22;2878,305
11/2/22;2928,1
10/2/22;3116,235
9/2/22;3239,09
8/2/22;3117,185
7/2/22;3153,248
6/2/22;2996,564
5/2/22;3023,86
4/2/22;2956,506
3/2/22;2661
2/2/22;2655,9
1/2/22;2798,748
31/1/22;2680,98
30/1/22;2560,49
29/1/22;2617,172
28/1/22;2535,85
27/1/22;2360,895
26/1/22;2418,925
25/1/22;2414,185
24/1/22;2442,992
23/1/22;2422,92
22/1/22;2447,152
21/1/22;2610,453
20/1/22;3081,185
19/1/22;3114,905
18/1/22;3164,272
17/1/22;3166,583
16/1/22;3331,93
15/1/22;3335,915
14/1/22;3333,42
13/1/22;3271,4
12/1/22;3368,434
11/1/22;3232,265
10/1/22;3075,093
9/1/22;3189,84
8/1/22;3078,628
7/1/22;3215,177
6/1/22;3427,813
5/1/22;3554,365
4/1/22;3825,92
3/1/22;3724,375
2/1/22;3812,706
1/1/22;3749,561
31/12/21;3688,597
30/12/21;3736,625
29/12/21;3727,208
28/12/21;3807,877
27/12/21;4060,146
26/12/21;4085,146
25/12/21;4121,159
24/12/21;4067,111
23/12/21;4114,551
22/12/21;4015,817
21/12/21;4026,884
20/12/21;3913,9
19/12/21;3922,742
18/12/21;3978,563
17/12/21;3907,567
16/12/21;4031,71
15/12/21;4063,771
14/12/21;3853,341
13/12/21;3770,785
12/12/21;4124,693
11/12/21;4029,571
10/12/21;3996,52
9/12/21;4166,391
8/12/21;4418,848
7/12/21;4291,778
6/12/21;4325,118
5/12/21;4149,105
4/12/21;4067,426
3/12/21;4216,613
2/12/21;4547,836
1/12/21;4568,65
30/11/21;4630,625
29/11/21;4453,148
28/11/21;4256,71
27/11/21;4083,969
26/11/21;4070,482
25/11/21;4501,431
24/11/21;4259,306
23/11/21;4351,952
22/11/21;4080,565
21/11/21;4366,381
20/11/21;4432,112
19/11/21;4280,125
18/11/21;4023,68
17/11/21;4256,64
16/11/21;4255,73
15/11/21;4571,041
